$1	0
$9	1
$9	2
$9	6
$9	7
$9	8
$1	9
$9	13
$9	14
$6	16
$1	17
$9	18
$9	20
$1	22
$9	23
$9	24
$9	25
$9	27
$9	29
$9	30
$9	31
$9	33
$1	34
$9	35
$9	38
$9	42
$1	43
$1	44
$1	45
$9	47
$9	52
$9	53
$9	58
$9	59
$9	60
$9	64
$9	65
$1	66
$1	70
$9	71
$9	74
$1	77
$9	81
$9	82
$9	83
$1	84
$9	86
$9	87
$9	88
$9	89
$1	90
$9	92
$9	96
$9	98
$1	100
$9	101
$9	102
$9	103
$9	105
$1	106
$6	107
$9	108
$6	111
$9	112
$9	114
$1	115
$1	116
$9	119
$9	123
$9	124
$9	125
$9	128
$9	129
$9	131
$9	135
$9	140
$9	144
$9	146
$9	148
$9	150
$9	151
$9	157
$9	160
$9	161
$9	162
$9	163
$9	169
$9	175
$9	176
$9	178
$9	179
$9	181
$9	183
$9	185
$9	188
$9	194
$9	198
$9	199
